s_min,p_target,blr_approval_rate,gp_approval_rate,decision_agreement
30.0,0.9,0.4320388349514563,0.6019417475728155,0.8300970873786407
30.0,0.95,0.32524271844660196,0.5825242718446602,0.7427184466019418
30.0,0.99,0.19902912621359223,0.5388349514563107,0.6504854368932039
35.0,0.9,0.24757281553398058,0.44660194174757284,0.7912621359223301
35.0,0.95,0.1796116504854369,0.42718446601941745,0.7427184466019418
35.0,0.99,0.0825242718446602,0.3640776699029126,0.7087378640776699
40.0,0.9,0.12135922330097088,0.30097087378640774,0.8009708737864077
40.0,0.95,0.0825242718446602,0.2669902912621359,0.7961165048543689
40.0,0.99,0.05825242718446602,0.24757281553398058,0.8106796116504854
